Artist and Title,Streams,Daily
Silet Open Up - TABOLA BALE,273729118,363832.0
ROSALÍA - La Perla,271234435,861351.0
Ariana Grande - twilight zone,270980365,316378.0
Matheus Fernandes - Balanço da Rede,270290293,34502.0
Beéle - top diesel,269095652,347195.0
Ferrugem - Apaguei pra todos,268870009,414145.0
Don Toliver - Lose My Mind,266164851,546336.0
WizTheMc - Show Me Love,265202598,466857.0
MXZI - MONTAGEM XONADA,265097816,669190.0
beabadoobee - Real Man,260149050,281847.0
Mrs. GREEN APPLE - ライラック,259864018,305266.0
j-hope - MONA LISA,258099797,306820.0
Blessd - YOGURCITO REMIX,257746004,773632.0
Taylor Swift - Wi$h Li$t,256741006,402188.0
Taylor Swift - The Life of a Showgirl,254567741,391116.0
Marília Mendonça - Presepada,251740828,46282.0
KAROL G - Coleccionando Heridas,250785440,514516.0
Neton Vega - Pvta Luna,250534280,1376691.0
Playboi Carti - EVIL J0RDAN,249222199,239166.0
Luis R Conriquez - Chula Vente,248884530,453400.0
Myke Towers - SOLEAO,248329479,464276.0
Yb Wasg'ood - LUNA BALA,247092512,353186.0
Sabrina Carpenter - Nobody’s Son,246742294,611523.0
EsDeeKid - 4 Raws,245913193,1047137.0
Esau Ortiz - Triple Lavada,245618875,267938.0
"Mohammed Irfan - Phir Mohabbat (From ""Murder 2"")",243015110,258738.0
Daniel Caesar - Who Knows,240245817,1407317.0
Faithless - Insomnia (Monster Mix),239781444,121611.0
Fuerza Regida - CHAVALITAS,239498314,758871.0
KAROL G - LATINA FOREVA,239086193,342558.0
Sydney Rose - We Hug Now,238984712,370441.0
Olivia Dean - A Couple Minutes,236858926,1042654.0
Idgitaf - Sedia Aku Sebelum Hujan,236752498,1257256.0
Beéle - quédate,235929266,458437.0
Yan Block - 111,234683041,369787.0
Ella Langley - Choosin' Texas,232109297,2084239.0
David Guetta - Beautiful People,230968308,283059.0
Tate McRae - Siren sounds (bonus),230049012,652556.0
Shaboozey - Good News,229514850,263299.0
Talwiinder - Haseen,229362849,504646.0
El Bogueto - Cuando No Era Cantante,228824860,1504864.0
Taylor Swift - Wood,227573966,307925.0
KATSEYE - Gameboy,227545356,710624.0
Kenshi Yonezu - IRIS OUT,226380483,647474.0
Beéle - sobelove,226024147,151745.0
Karan Aujla - For A Reason,224732400,723298.0
Taylor Swift - Actually Romantic,224299884,310875.0
LE SSERAFIM - SPAGHETTI,224118351,654241.0
Anuv Jain - Afsos,223876335,333838.0
Matheus & Kauan - Ilusão De Ótica,222965297,436007.0
Neton Vega - Mi Vida Mi Muerte,220630212,263197.0
For Revenge - Penyangkalan,219146496,286211.0
Easykid - Shiny,219011245,356039.0
JENNIE - Love Hangover,218626012,204940.0
Taylor Swift - CANCELLED!,217354656,295550.0
Selena Gomez - Ojos Tristes,216992068,272180.0
"ROLE MODEL - Sally, When The Wine Runs Out",216954731,466719.0
The Smashing Pumpkins - Zero,215512942,73417.0
BigXthaPlug - All The Way,213494810,343231.0
Beéle - morena (Bonus Track),212473397,105917.0
PinkPantheress - Illegal,211940574,523309.0
Gigi Perez - Fable,211122168,277735.0
"Camille Saint-Saëns - The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",210751857,128797.0
Fred again.. - Victory Lap,210715717,441229.0
GIMS - NINAO,210402436,231557.0
Liberación - Ese Loco Soy Yo,210238113,150771.0
Rafa e Junior - Ama Um Maloqueiro,210185132,351935.0
Scythermane - NUNCA MUDA?,209638335,184829.0
Jessie Murph - Blue Strips,208339154,247362.0
Taylor Swift - Ruin The Friendship,208133945,333150.0
MXZI - MONTAGEM TOMADA,206918522,231387.0
Bronco - Oro,206208000,137323.0
Vitinho Imperador - Eu Me Apaixonei,205825413,537817.0
Repsaj - MONTAGEM BAILÃO,205550514,244295.0
Piso 21 - Volver,204925686,165134.0
JVKE - her,204555392,541951.0
Tate McRae - Dear god,203235276,302036.0
Zara Larsson - Midnight Sun,203210044,1323824.0
Marino - Devil in Disguise,203186283,389166.0
Max McNown - Better Me For You (Brown Eyes),202491835,406799.0
Herencia De Grandes - Ya Borracho,201958234,1343868.0
Bronco - Nunca Voy A Olvidarte,201782153,77100.0
Taylor Swift - Eldest Daughter,200832421,264643.0
Peso Pluma - dopamina,199165215,1650202.0
"Mohit Chauhan - Tujhe Bhula Diya (From ""Anjaana Anjaani"")",198989419,147593.0
Nakama - MENTE MÁ,198735823,437788.0
Sabrina Carpenter - House Tour,198643940,438130.0
Gunna - wgft,198625579,896331.0
Tkandz - NOW OR NEVER,198143826,702713.0
Miguel Bueno - Solcito,196226499,226307.0
Sayfalse - LOS VOLTAJE,196163223,310184.0
JENNIE - Handlebars,194755800,171907.0
Laufey - Lover Girl,194663768,618450.0
Fuerza Regida - caperuza,194454419,733051.0
PEDRO SAMPAIO - SEQUÊNCIA FEITICEIRA,194317176,579451.0
Naykilla - Kasih Aba Aba,193729213,287659.0
Olivia Dean - Let Alone The One You Love,192950014,626360.0
Bad Bunny - LO QUE LE PASÓ A HAWAii,192613239,352874.0
Grupo Menos É Mais - Pela Última Vez,191920904,635027.0
Lauana Prado - Saudade Burra,191057020,234957.0
Victor Mendivil - Ráfagas al Viento,190878755,250961.0
Carly Rae Jepsen - Run Away With Me,190739689,38210.0
KAROL G - Milagros,190520643,278857.0
Henrique & Juliano - Saudade De Quem Eu Sou,189339680,468020.0
Gloria Groove - Nosso Primeiro Beijo,189091295,155889.0
Madison Beer - bittersweet,188855796,506204.0
Olivia Dean - Baby Steps,188638018,758226.0
Mora - AURORA,188416225,254452.0
Sam Feldt - Crying On The Dancefloor,188313271,35978.0
Natanael Cano - Blancanieves,187460028,347117.0
MC GP - ME POSTOU NO DAILY,187432153,690803.0
Marco Antonio Solís - Será Mejor Que Te Vayas,187106525,121330.0
PARTYNEXTDOOR - SOMEBODY LOVES ME,187008475,318318.0
Shubh - Supreme,185694761,182749.0
SYML - I Wanted to Leave,185533081,109638.0
De La Rose - NUBES,185345636,379559.0
Jere Klein - TODO KE VER,185292927,382399.0
Shankar-Ehsaan-Loy - O Rangrez,184965705,201745.0
Danny Ocean - Priti,183651936,210119.0
Cris MJ - Vamo a Bailotear,183617407,189183.0
Abraham Mateo - Quiero Decirte,183458060,237816.0
oskar med k - Make Me Feel,183129439,377372.0
Felipe Amorim - Eu Vou na Sua Casa,182545987,191245.0
Intocable - Enséñame A Olvidarte,182187396,135751.0
Lizzy McAlpine - Spring Into Summer,181955738,389507.0
Milo j - 3 PECADOS DESPUES…,181820491,239134.0
Taylor Swift - Honey,181208215,267502.0
Lady Gaga - The Dead Dance,180944500,284102.0
Drake - Which One,180797090,322737.0
Yeat - COMË N GO,179870895,513564.0
bbno$ - two,178841077,272920.0
Sam Fender - Rein Me In,178525276,1787231.0
Damiano David - The First Time,178105312,473870.0
HUGEL - Forever,178057616,179761.0
Blessd - AMISTA,177279101,305630.0
ZXKAI - NO BATIDÃO,177105842,676140.0
GIVĒON - TWENTIES,176746358,247434.0
sombr - we never dated,176149564,440007.0
sma$her - ACELERADA,176078349,312323.0
Kevin Murphy - Candy Store,176070974,93977.0
Armin van Buuren - On & On,175766223,52966.0
Nadhif Basalamah - kota ini tak sama tanpamu,174937523,1560836.0
Kew - Descer,174222462,178853.0
Julión Álvarez y su Norteño Banda - Cero Empatía,174017712,237838.0
Ben E. King - Save the Last Dance for Me,173535921,41303.0
JISOO - earthquake,172681630,184695.0
"The Rish - Barbaad (From ""Saiyaara"")",172583424,316960.0
Luis R Conriquez - De Fresa y Coco,172513555,74266.0
Pierce The Veil - So Far So Fake,172278726,358977.0
Tenxi - mejikuhibiniu,171885562,292021.0
Luis R Conriquez - Bandida,171666064,113251.0
