Artist and Title,Streams,Daily
Intocable - Perdedor,116000778,100038.0
Clave Especial - TU COQUETTE,115950996,107310.0
Shirin David - bauch beine po,115712513,55275.0
Franz Ferdinand - Do You Want To,115593738,29311.0
Standly - Chaparrita,115541223,160479.0
Dave Matthews Band - Ants Marching,115535491,38436.0
Caloncho - Palmar,115470239,23894.0
Victor Mendivil - Me Paseo,115409170,317961.0
Jordan Davis - I Ain't Sayin',114894436,148997.0
Darius Rucker - Beers And Sunshine,114797482,31100.0
Sir Mix-A-Lot - Ride,114767435,85872.0
Slimane - Mon amour,114702531,43517.0
Beéle - i miss you,114441937,81036.0
Utopia - Antara Ada dan Tiada,114253193,124243.0
Maná - Mariposa Traicionera,113808398,62686.0
TOMORROW X TOGETHER - Beautiful Strangers,113645519,98710.0
Conjunto Primavera - Ese,113453451,121778.0
Neil Diamond - I Am...I Said,113343300,57026.0
Peso Pluma - intro,113293587,502495.0
Myles Smith - Wait For You,113280951,127407.0
Damiano David - Next Summer,113263735,113351.0
Harris Jayaraj - Mundhinam,113242252,113440.0
mgk - love race,113123935,18285.0
Brantley Gilbert - Kick It In The Sticks,113091810,31198.0
Central Cee - Gen Z Luv,113060735,80745.0
Falco - Der Kommissar,112922982,34021.0
Stray Kids - CEREMONY,112880808,221124.0
Wings - Silly Love Songs,112795537,47712.0
Ariana Grande - dandelion,112780465,114847.0
Lavern - Sunshine,112626180,36549.0
Morgan Wallen - I'm A Little Crazy,112550554,132472.0
Jim Efforts - Noise Rest,112538670,231774.0
Mahalini - Sampai Menutup Mata,112503811,62818.0
"Anirudh Ravichander - Mayakkama Kalakkama (From ""Thiruchitrambalam"")",112242137,13164.0
Pancho Barraza - Ignoraste Mis Lágrimas,112045503,64108.0
Odetari - HEAVY LOVE,112003385,167458.0
Luísa Sonza - MAMA.CITA (hasta la vista),111758515,15380.0
Louis The Child - It's Strange,111675904,8980.0
Rizky Febian - Alamak,111633657,268887.0
Bella Kay - The Sick,111625316,688818.0
Davido - With You,111525904,161817.0
Clave Especial - LA NETA,111316681,160849.0
"Thalia - No, No, No",111315298,56146.0
Chino Pacas - OJITOS MENTIROSOS,111273044,155088.0
Banda Los Recoditos - Perfecta,110608433,21037.0
Banda Machos - Me llamo Raquel,110302002,49398.0
Jordan Adetunji - KEHLANI (REMIX) [feat. Kehlani],110203921,105959.0
Luísa Sonza - CACHORRINHAS,110143631,15111.0
Rod Stewart - Have You Ever Seen The Rain,110118609,38722.0
Jason Aldean - Try That In A Small Town,109842585,49053.0
mgk - cliché,109760748,174972.0
Mc Negão Original - Vou pela Madrugada,109402600,380900.0
Playboi Carti - GOOD CREDIT,109356078,75108.0
Victor & Leo - Borboletas,109167043,102496.0
Yuvan Shankar Raja - En Kadhal Solla,109074214,115191.0
Lomiiel - PA QUE LO BAILES (BAILALO ROCKY),108808748,130237.0
Sabrina Carpenter - Never Getting Laid,108796593,215145.0
Kenshi Yonezu - JANE DOE,108593413,304322.0
"Bronco - Total, ¿Qué Más Da?",108519650,81403.0
Oscar Maydon - ZAZA,108514683,129230.0
EsDeeKid - Cali Man,108329489,439386.0
Rony Parulian - Angin Rindu,108176407,55505.0
Justin Bieber - GO BABY,108169674,107398.0
Tanishk Bagchi - Saiyaara Reprise,108011640,178081.0
Standly - Baila para Mi,107960188,72271.0
Nono La Grinta - Paris,107670370,226150.0
Clayton & Romário - Se Eu Te Perdoar,107422777,252078.0
Emilia - bunda 🍑,107415736,94481.0
Mc Jacaré - Senta e Cala a Boca,107361217,136489.0
Danny Ocean - Corazón,107347049,388377.0
Felipe e Rodrigo - Caos de Alguém (Ao Vivo),107281418,282467.0
"Claude Debussy - Rêverie, L. 68: Rêverie",107121321,30737.0
Banda Pequeños Musical - La nena,106924857,77952.0
Curtis Mayfield - Pusherman,106920807,33863.0
Thomas Rhett - Beautiful As You,106556206,86101.0
Fetty Wap - Wake Up,106334783,8411.0
"Mohit Chauhan - Matargashti (From ""Tamasha"")",106196299,89043.0
Kapo - ILY,105987621,137298.0
Lithe - Cannonball,105939329,353463.0
Pierce The Veil - Pass The Nirvana,105671949,57610.0
DJ Japa NK - Amo Minha Favela,105633076,826603.0
PARTYNEXTDOOR - SOMETHING ABOUT YOU,105617612,145678.0
Zé Neto & Cristiano - Resumindo,105617172,168368.0
Morgan Wallen - Superman,105589055,114922.0
Esau Ortiz - Triple Lavada,105237954,186303.0
Connie Francis - Stupid Cupid,105201634,34206.0
Kapo - DÓNDE,105140683,298525.0
Scorpions - Always Somewhere,105033480,181820.0
Sebastian Yatra - Una Noche Sin Pensar,105006227,13292.0
Jorge & Mateus - Enquanto Houver Razões,104921564,132482.0
Hearts2Hearts - The Chase,104693332,217119.0
Sylvester - You Make Me Feel (Mighty Real),104565577,43826.0
Madhur Sharma - Kali Kali Zulfon Ke,104536716,38090.0
Morgan Wallen - TN,104308371,179435.0
mikeeysmind - Papaoutai,103487230,871557.0
Drake - GIMME A HUG,103377117,84179.0
Fuerza Regida - peliculiando,103261415,157903.0
Milo j - OLIMPO,103194052,267645.0
EsDeeKid - Rottweiler,103149551,387317.0
Los Acosta - Tonto corazón,103049780,69641.0
Françoise Hardy - Le temps de l'amour,102927479,37192.0
Lindsey Stirling - Roundtable Rival,102800941,32283.0
LISA - FXCK UP THE WORLD,102679710,83559.0
Sam Fender - People Watching,102639609,163307.0
Tobal Mj - Tiene,102518507,139799.0
Juice WRLD - Face 2 Face,102274122,28305.0
Jim Efforts - Calmed By Rest,101945055,123376.0
Ty Myers - Ends of the Earth,101852380,118573.0
Diego & Arnaldo - Vai Cair Água,101644013,
Jonas Blue - Edge of Desire,101594117,559765.0
Hans Zimmer - Chevaliers De Sangreal,101509191,45014.0
Sebastian Yatra - Energía Bacana,101482158,27330.0
HONNE - Someone That Loves You,101148066,13667.0
"Yusuf / Cat Stevens - If You Want To Sing Out, Sing Out",101138050,18006.0
Banda Machos - La culebra,100979936,61865.0
Peso Pluma - ni pedo,100957592,754179.0
Lola Indigo - LA REINA,100777242,35987.0
Summer Walker - Heart Of A Woman,100694719,101552.0
"Anirudh Ravichander - Monica (From ""Coolie"")",100606594,200828.0
Sabrina Carpenter - We Almost Broke Up Again Last Night,100389514,167127.0
Felipe Araújo - Body Splash,100216611,55908.0
Ty Myers - Drinkin' Alone,100214196,
Playboi Carti - CRUSH,100165852,62071.0
